Topic	ANSWER	Questions
Statistics	Sample	A ___________ is a subset of the population. 
Statistics	Averages	Descriptive statistics summarize the data, with values like maximums, minimums, and ___________.
Statistics	Looks like population	Name one property of a good sample. 
Statistics	Population	The ___________ is the entire collection of objects or individuals about which information is desired. 
Statistics	Inferential statistics	What kind of statistics are used to draw conclusions about a population?
Statistics	It is often not possible to collect a true population	Why do researchers use a sample rather than a population?
Statistics	Survey	Give one example of data collection that involves direct observation. 
Statistics	Random sampling	What kind of sampling ensures representative data?
Statistics	Cross-sectional studies	What kind of studies involve measuring data at one point in time.?
Statistics	Retrospective	What type of study is done on data that have already been collected?
Statistics	Manipulate the health of male crickets	If you want to know whether female crickets choose their mates based on health, what should you do to the male crickets?
Statistics	Observational	In ___________ studies you report what's happening without influencing the activity by any means.
Statistics	Experimental Studies	In what kind of studies do researchers manipulate variables?
Statistics	Draw a causation	What can an experimental study do that an observational study cannot?
Statistics	Lurking/confounding variables	What kind of variables make it difficult to interpret data?
Statistics	Randomization	What should be done to reduce the chance of unexpected group differences in a study?
Statistics	Representative	A sample is unbiased if it is ___________ of the population. 
Statistics	easy to be picked	Convenience sampling means that people are sampled because they are ___________
Statistics	Stratified Sampling	In this form of sampling, the population is divided into sections and then participants are randomly selected from each section to form the sample.
Statistics	Unethical, not interested in causality, expensive, or difficult to run	Name one potential disadvantage of experiments.
Statistics	Selection bias	Over- or under-representation of some groups in the population produces a ___________ bias.
Statistics	Response bias	What kind of bias can arise if the researcher ask misleading questions?
Statistics	Nonresponse bias	What kind of bias can be produced by participants' unwillingness to participate?
Statistics	Simple random sampling	What sampling method ensures that every member of the sample has an equal chance of being picked?
Statistics	It is a biased or nonrepresentative sample	A researcher conducts a study that investigates how far people can jump in one leap. The sample consists only of people over six feet tall. What's wrong with this sample?
Statistics	Convenience sampling	A researcher recruiting a sample asks friends to participate in a study. What sampling method did they use?
Statistics	Retrospective	College admissions offices often keep records of admission standards over time.  You want to know if your college's admission standards have changed in the last 20 years, what kind of study is this?
Statistics	drugs are not randomly assigned to clinics	You recruit clinics from around the country to test whether a new medication is more effective than an existing one. You let each clinic choose whether to administer the new drug or the existing drug.  What's wrong with this study?
Physics	Flash tube	A ___________ emits light to begin the process of creating a laser beam.
Physics	Removing skin discoloration or tumors	A common application of lasers in medicine is ___________.
Physics	Coherent	A light is ___________ when the peaks and troughs of the light waves line up precisely.
Physics	As thin as a human hair	How thin can a fiber optic be?
Physics	huge waves on the sea	If the flashlight is like ripples in a bathtub, the laser is like ___________.
Physics	The Persian Gulf	In 2014, where did the US Navy test a Laser Weapon System?
Physics	Semiconductor	The five best known types of lasers are solid, gas, liquid, ___________, and fiber.
Physics	Welding or industrial cutting	What are CO2 lasers used for?
Physics	Masers	What did lasers evolve from?
Physics	radiation	What does the R in laser stand for?
Physics	The military	What industry is the biggest user of lasers?
Physics	A mixture of lights of all different colors	What is "white" light made of?
Physics	The smallest quantity of energy	What is a quantum?
Physics	He invented the (concept of) laser	What is Gordon Gould's main achievement?
Physics	You can make lasers with many different colors	What is the advantage of liquid dye lasers?
Physics	Monochromatic	What is the name for light of a very precise wavelength and color?
Physics	Ground state	What is the normal state of an electron?
Physics	Doping	What is the process of replacing solid atoms with impure ones called?
Physics	The "Star Wars program"	What is the Strategic Defense Initiative (SDI) commonly known as?
Physics	Ruby crystal	What object can serve as a red laser's medium?
Physics	Gas (CO2) laser	What type of laser would be useful for industrial engraving?
Physics	Green (solid state) laser	What type of light would a laser with an emerald crystal for a medium produce?
Physics	Microwaves and radio waves	What type of particles do masers emit?
Physics	Spontaneous emission	When electrons give off a photon of light by itself, this is called ___________.
Physics	Because the only cost is the energy it takes to make the laser	Why are lasers cheaper than conventional missiles?
Physics	Organic dye	You are building a liquid laser with an organic dye and a flash lamp. Which of these components is the medium?
Physics	Gas laser	You want to make a new product that requires you to laser cut both fabric and aluminum, which type of laser should you use?
Computer Science	Data	A stored program computer treats algorithms the same as what?
Computer Science	Algorithm	An ________ is a set of instructions - steps to be executed in a specific order.
Computer Science	The worst error a program can produce is the wrong answer	Aside from crashes and freezes, what is the worst error a program can produce?
Computer Science	To break the German enigma code	During WWII, Alan Turing built a machine to do what?
Computer Science	When it experiences incompatibility	How does a program end up in a crash?
Computer Science	One kind of memory 	How many kinds of memory are there in a stored program computer?
Computer Science	The first will be on and the second will be off	How would you represent the binary number of 10 (which means 2) with light bulbs? Please note the ORDER of the on-off pattern.
Computer Science	An infinite loop	If a computer seems to become unresponsive, what is the typical underlying cause?
Computer Science	Declarative knowledge	In programming, there are two types of knowledge. If you write the code x+3=4, what type of knowledge is it?
Computer Science	Transistors	Instead of light bulbs, which are far too large to fit inside a computer chip, the computer uses ______.
Computer Science	Keyboard, mouse or display	Name one example of an input/output device.
Computer Science	Floating point	There are two types of numbers in programming. One is an integer and the other is what?
Computer Science	A bug	What do we call an error that leads to a violation against the intention of a coder?
Computer Science	The rules of the programming language	What is syntax?
Computer Science	Arithmetic logic unit (ALU)	What is the brain of the computer (you can use abbreviations)?
