subject	document	sentence
Physics	1	Einstein discovered quantum theory
Physics	1	Einstein discovered stimulated emission
Physics	1	Quantum theory and stimulated emission are foundations of laser science
Physics	1	Lasers were developed from masers
Physics	1	Masers produce microwaves and radio waves
Physics	1	Masers were invented by Charles Townes and Arthur Schawlow, who received the Nobel Prize
Physics	1	Gordon Gould's main achievement is the invention of laser
Physics	1	After two decades of legal battles, Gordon Gould secured a patent for the laser invention
Physics	1	Laser came from combining the words light and maser
Physics	1	Early inventors were uncertain of the use of lasers
Physics	1	Lasers are now used everywhere, such as for DVD or Blu-ray players, surgeries (e.g, LASIK), barcode scanners, emails, etc
Physics	1	If the flashlight is like ripples in a bathtub and the laser is like huge waves on the sea
Physics	1	White light is a mixture of lights of all different colors
Physics	1	A laser makes a monochromatic light
Physics	1	A monochromatic light has specific colors (e.g., , red, green, ultraviolet)
Physics	1	A light is coherent when the peaks and troughs of the light waves line up precisely
Physics	1	Laser beams are like aligned soldiers and flashlights are like crowd of commuters
Physics	1	The light??s specificity, distance, and consistency make lasers precise, powerful beams of energy
