subject	document	sentence
ComputerScience	1	Declarative knowledge is a factual statement.
ComputerScience	1	Imperative knowledge is solving a problem or accomplishing a task.
ComputerScience	1	Algorithms are instructions with steps to complete in a specific order.
ComputerScience	1	Algorithms outline a beginning, middle, and end.
ComputerScience	1	Algorithms can contain a loop instruction that tells the program to repeat.
ComputerScience	1	Proper termination instructions are crucial in algorithms to prevent infinite loops.
ComputerScience	1	One of the first computers was designed at Iowa State University in 1937 by Atanasoff and Berry.
ComputerScience	1	Early computers were called fixed program computers, designed for specific problems.
ComputerScience	1	The Atanasoff and Berry Computer (ABC) was made to help drop bombs in World War II.
ComputerScience	1	Alan Turing's machines were built for the Allies to decode German military messages during World War II.
ComputerScience	1	Early computers operated by executing a set of algorithms while separately receiving operator input.
ComputerScience	1	Fixed program computers were limited in functionality, only capable of performing predefined tasks.
ComputerScience	1	The invention of stored program computers marked a significant technological breakthrough.
ComputerScience	2	In stored program computers, algorithm and data applications are the same program.
ComputerScience	2	Programs can produce other programs.
ComputerScience	2	Stored program computers consist of three main parts: the control unit, memory, and the arithmetic logic unit (ALU).
ComputerScience	2	Stored program computers also have input and output devices, parts we regularly interact with.
ComputerScience	2	Keyboards, mice, and screens are all examples of input and output devices.
ComputerScience	2	A computer’s memory stores all the information it receives.
ComputerScience	2	Computers have one kind of memory, not separate systems.
ComputerScience	2	The control unit tells the computer what to do.
ComputerScience	2	The arithmetic logic unit (ALU is a fundamental part of modern computers and acts as the computer’s brain.
ComputerScience	2	Modern ALUs have billions of transistors.
ComputerScience	2	Transistors in the ALU can be seen as equivalent to light bulbs.
ComputerScience	2	Computers using the binary system interpret 0 as off and 1 as on.
ComputerScience	2	Modern computers can turn these “lightbulbs” on and off billions of times every second.
ComputerScience	2	Complex operations are possible due to the large number of quick switches transistors can make.
ComputerScience	2	The binary system allows computers to process large amounts of data and execute algorithms efficiently.
ComputerScience	3	Commands are built-in instructions for computer programs.
ComputerScience	3	Built-in instructions for the same type of data differ among programming languages.
ComputerScience	3	In Python, the command “S-T-R” means “string,” representing characters and letters.
ComputerScience	3	Syntax, static semantics, and semantics define a programming language.
ComputerScience	3	Syntax tells us the sequence of characters and symbols allowed in the programming language’s rules.
ComputerScience	3	Syntax in computer programming is like syntax in human languages.
ComputerScience	3	Syntax does not care if something has meaning, only that it fits the programming language’s rules.
ComputerScience	3	Static semantics refer to how meaningful and well-formed a code is.
ComputerScience	3	Programming languages, unlike human languages, have only one meaning.
ComputerScience	3	A bug is an error in the code that goes against the intention of the coder.
ComputerScience	3	Errors can cause the program to quit, resulting in a crash.
ComputerScience	3	Errors can also cause the program to become unresponsive, resulting in a freeze.
ComputerScience	3	Crashing and freezing have different underlying causes.
ComputerScience	3	Incompatibility, when a program expects one input but gets another, can cause a crash.
ComputerScience	3	When a program gets stuck in an infinite loop and cannot complete a job, it can cause a freeze.
ComputerScience	4	If a program crashes or freezes, you know that something went wrong immediately.
ComputerScience	4	The most challenging type of error is when a program runs to completion but produces the wrong output.
ComputerScience	4	Python is an interpreted language, making debugging easy.
ComputerScience	4	Interpreted languages can describe what went wrong using the language of the source code.
ComputerScience	4	Compiled language programs will give you an unintelligible error message in the machine code
ComputerScience	4	In almost all programming languages, you will first see the integrated development environment (IDE) which Python calls the IDLE.
ComputerScience	4	IDLE is named after Eric Idle from Monty Python, who also who inspired the name Python.
ComputerScience	4	The IDLE has highlighting, auto-completion, and smart indenting to help see and write your code.
ComputerScience	4	The shell in the IDLE is where Python runs the code.
ComputerScience	4	You can write and run code in the text editor to have many lines of code executed together.
ComputerScience	4	Everything is an object in Python with many categories that tell you what kind of object it is and what it can do.
ComputerScience	4	There are two types of numbers in programming: integers and floating point.
ComputerScience	4	Integers deal with whole numbers and are notated “I-N-T” in Python.
ComputerScience	4	Floating point deals with decimals and is notated “F-L-O-A-T” in Python.
Ecology	1	The word ‘toucan’ comes from the Tupi Natives from Brazil
Ecology	1	The toucan is a member of the Ramphastidae bird family
Ecology	1	Toucans are mostly found in South America
Ecology	1	The largest toucan species is the toco toucan
Ecology	1	The average lifespan of a toucan in captivity is 18 years
Ecology	1	Toucans do not migrate because of their beak size
Ecology	1	The anatomy of a toucan helps them stand on trees for long periods of time
Ecology	1	Toucans rely on natural tree hollows or woodpeckers to make tree holes for their babies
Ecology	1	Due to their unique anatomy, up to 6 toucans can fit inside one tree hole
Ecology	1	Both toucan parents take care of their babies
Ecology	1	Baby toucans (toucanets) hatch blind and naked
Ecology	1	Unlike most mother birds, toucans leave the nest together once toucanets can fly
Ecology	1	Female toucans can lay up to 21 eggs
Ecology	1	Mother and father toucans will take turns sitting on their eggs until they hatch
Ecology	2	The color of toucans comes from their skin, not their feathers
Ecology	2	Toucans are covered in feathers except around their feet, bill, and eyes
Ecology	2	Toucans use their colorful feathers to mimic fruits to avoid predators
Ecology	2	The gender of a toucan is hard to determine just by looking at them
Ecology	2	The structure of a toucan’s bill looks like a honeycomb
Ecology	2	A toucan’s bill is composed of the protein keratin
Ecology	2	A toucan’s bill has the consistency of a hard sponge
Ecology	2	A toucan’s bill offers two main advantages: foraging and communication
